Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001666,Male,No,0,Graduate,No,8333,3750,187,360,1,Rural,Approved
LP001669,Female,No,0,Not Graduate,No,1907,2365,120,342,1,Urban,Approved
LP001671,Female,Yes,0,Graduate,No,3416,2816,113,360,1,Semiurban,Approved
LP001674,Male,Yes,1,Not Graduate,No,2600,2500,90,360,1,Semiurban,Approved
LP001677,Male,No,2,Graduate,No,4923,0,166,360,0,Semiurban,Approved
LP001688,Male,Yes,1,Not Graduate,No,3500,1083,135,360,1,Urban,Approved
LP001691,Male,Yes,2,Not Graduate,No,3917,0,124,360,1,Semiurban,Approved
LP001692,Female,No,0,Not Graduate,No,4408,0,120,360,1,Semiurban,Approved
LP001693,Female,No,0,Graduate,No,3244,0,80,360,1,Urban,Approved
LP001698,Male,No,0,Not Graduate,No,3975,2531,55,360,1,Rural,Approved
LP001699,Male,No,0,Graduate,No,2479,0,59,360,1,Urban,Approved
LP001713,Male,Yes,1,Graduate,Yes,7787,0,240,360,1,Urban,Approved
LP001715,Male,Yes,3+,Not Graduate,Yes,5703,0,130,360,1,Rural,Approved
LP001716,Male,Yes,0,Graduate,No,3173,3021,137,360,1,Urban,Approved
LP001720,Male,Yes,3+,Not Graduate,No,3850,983,100,360,1,Semiurban,Approved
LP001726,Male,Yes,0,Graduate,No,3727,1775,131,360,1,Semiurban,Approved
LP001734,Female,Yes,2,Graduate,No,4283,2383,127,360,0,Semiurban,Approved
LP001743,Male,Yes,2,Graduate,No,4009,1717,116,360,1,Semiurban,Approved
LP001744,Male,No,0,Graduate,No,2971,2791,144,360,1,Semiurban,Approved
LP001749,Male,Yes,0,Graduate,No,7578,1010,175,342,1,Semiurban,Approved
LP001750,Male,Yes,0,Graduate,No,6250,0,128,360,1,Semiurban,Approved
LP001758,Male,Yes,2,Graduate,No,6250,1695,210,360,1,Semiurban,Approved
LP001760,Male,Yes,2,Graduate,No,4758,0,158,480,1,Semiurban,Approved
LP001761,Male,No,0,Graduate,Yes,6400,0,200,360,1,Rural,Approved
LP001765,Male,Yes,1,Graduate,No,2491,2054,104,360,1,Semiurban,Approved
LP001768,Male,Yes,0,Graduate,No,3716,0,42,180,1,Rural,Approved
LP001770,Male,No,0,Not Graduate,No,3189,2598,120,342,1,Rural,Approved
LP001776,Female,No,0,Graduate,No,8333,0,280,360,1,Semiurban,Approved
LP001778,Male,Yes,1,Graduate,No,3155,1779,140,360,1,Semiurban,Approved
LP001784,Male,Yes,1,Graduate,No,5500,1260,170,360,1,Rural,Approved
LP001788,Female,No,0,Graduate,Yes,3463,0,122,360,1,Urban,Approved
LP001790,Female,No,1,Graduate,No,3812,0,112,360,1,Rural,Approved
LP001792,Male,Yes,1,Graduate,No,3315,0,96,360,1,Semiurban,Approved
LP001798,Male,Yes,2,Graduate,No,5819,5000,120,360,1,Rural,Approved
LP001806,Male,No,0,Graduate,No,2965,5701,155,60,1,Urban,Approved
LP001807,Male,Yes,2,Graduate,Yes,6250,1300,108,360,1,Rural,Approved
LP001811,Male,Yes,0,Not Graduate,No,3406,4417,123,360,1,Semiurban,Approved
LP001814,Male,Yes,2,Graduate,No,9703,0,112,360,1,Urban,Approved
LP001819,Male,Yes,1,Not Graduate,No,6608,0,137,180,1,Urban,Approved
LP001824,Male,Yes,1,Graduate,No,2882,1843,123,480,1,Semiurban,Approved
LP001825,Male,Yes,0,Graduate,No,1809,1868,90,360,1,Urban,Approved
LP001841,Male,No,0,Not Graduate,Yes,2583,2167,104,360,1,Rural,Approved
LP001843,Male,Yes,1,Not Graduate,No,2661,7101,279,180,1,Semiurban,Approved
LP001846,Female,No,3+,Graduate,No,3083,0,255,360,1,Rural,Approved
LP001865,Male,Yes,1,Graduate,No,6083,4250,330,360,1,Urban,Approved
LP001868,Male,No,0,Graduate,No,2060,2209,134,360,1,Semiurban,Approved
LP001871,Female,No,0,Graduate,No,7200,0,120,360,1,Rural,Approved
LP001872,Male,No,0,Graduate,Yes,5166,0,128,360,1,Semiurban,Approved
LP001875,Male,No,0,Graduate,No,4095,3447,151,360,1,Rural,Approved
LP001877,Male,Yes,2,Graduate,No,4708,1387,150,360,1,Semiurban,Approved
LP001882,Male,Yes,3+,Graduate,No,4333,1811,160,360,0,Urban,Approved
LP001884,Female,No,1,Graduate,No,2876,1560,90,360,1,Urban,Approved
LP001888,Female,No,0,Graduate,No,3237,0,30,360,1,Urban,Approved
LP001891,Male,Yes,0,Graduate,No,11146,0,136,360,1,Urban,Approved
LP001892,Male,No,0,Graduate,No,2833,1857,126,360,1,Rural,Approved
LP001894,Male,Yes,0,Graduate,No,2620,2223,150,360,1,Semiurban,Approved
LP001896,Male,Yes,2,Graduate,No,3900,0,90,360,1,Semiurban,Approved
LP001900,Male,Yes,1,Graduate,No,2750,1842,115,360,1,Semiurban,Approved
LP001903,Male,Yes,0,Graduate,No,3993,3274,207,360,1,Semiurban,Approved
LP001904,Male,Yes,0,Graduate,No,3103,1300,80,360,1,Urban,Approved
LP001907,Male,Yes,0,Graduate,No,14583,0,436,360,1,Semiurban,Approved
LP001908,Female,Yes,0,Not Graduate,No,4100,0,124,360,1,Rural,Approved
LP001914,Male,Yes,0,Graduate,No,3927,800,112,360,1,Semiurban,Approved
LP001915,Male,Yes,2,Graduate,No,2301,985.7999878,78,180,1,Urban,Approved
LP001917,Female,No,0,Graduate,No,1811,1666,54,360,1,Urban,Approved
LP001924,Male,No,0,Graduate,No,3158,3053,89,360,1,Rural,Approved
LP001926,Male,Yes,0,Graduate,No,3704,2000,120,360,1,Rural,Approved
LP001931,Female,No,0,Graduate,No,4124,0,115,360,1,Semiurban,Approved
LP001935,Male,No,0,Graduate,No,9508,0,187,360,1,Rural,Approved
LP001936,Male,Yes,0,Graduate,No,3075,2416,139,360,1,Rural,Approved
LP001940,Male,Yes,2,Graduate,No,3153,1560,134,360,1,Urban,Approved
LP001947,Male,Yes,0,Graduate,No,2383,3334,172,360,1,Semiurban,Approved
LP001949,Male,Yes,3+,Graduate,No,4416,1250,110,360,1,Urban,Approved
LP001953,Male,Yes,1,Graduate,No,6875,0,200,360,1,Semiurban,Approved
LP001954,Female,Yes,1,Graduate,No,4666,0,135,360,1,Urban,Approved
LP001972,Male,Yes,0,Not Graduate,No,2875,1750,105,360,1,Semiurban,Approved
LP001974,Female,No,0,Graduate,No,5000,0,132,360,1,Rural,Approved
LP001977,Male,Yes,1,Graduate,No,1625,1803,96,360,1,Urban,Approved
LP001978,Male,No,0,Graduate,No,4000,2500,140,360,1,Rural,Approved
LP001993,Female,No,0,Graduate,No,3762,1666,135,360,1,Rural,Approved
LP001998,Male,Yes,2,Not Graduate,No,7667,0,185,360,1,Rural,Approved
LP002002,Female,No,0,Graduate,No,2917,0,84,360,1,Semiurban,Approved
LP002004,Male,No,0,Not Graduate,No,2927,2405,111,360,1,Semiurban,Approved
LP002006,Female,No,0,Graduate,No,2507,0,56,360,1,Rural,Approved
LP002008,Male,Yes,2,Graduate,Yes,5746,0,144,84,1,Rural,Approved
LP002031,Male,Yes,1,Not Graduate,No,3399,1640,111,180,1,Urban,Approved
LP002035,Male,Yes,2,Graduate,No,3717,0,120,360,1,Semiurban,Approved
LP002036,Male,Yes,0,Graduate,No,2058,2134,88,360,1,Urban,Approved
LP002043,Female,No,1,Graduate,No,3541,0,112,360,1,Semiurban,Approved
LP002051,Male,Yes,0,Graduate,No,2400,2167,115,360,1,Semiurban,Approved
LP002053,Male,Yes,3+,Graduate,No,4342,189,124,360,1,Semiurban,Approved
LP002054,Male,Yes,2,Not Graduate,No,3601,1590,146,360,1,Rural,Approved
LP002055,Female,No,0,Graduate,No,3166,2985,132,360,1,Rural,Approved
LP002065,Male,Yes,3+,Graduate,No,15000,0,300,360,1,Rural,Approved
LP002068,Male,No,0,Graduate,No,4917,0,130,360,0,Rural,Approved
LP002082,Male,Yes,0,Graduate,Yes,5818,2160,184,360,1,Semiurban,Approved
LP002087,Female,No,0,Graduate,No,2500,0,67,360,1,Urban,Approved
LP002097,Male,No,1,Graduate,No,4384,1793,117,360,1,Urban,Approved
LP002098,Male,No,0,Graduate,No,2935,0,98,360,1,Semiurban,Approved
LP002100,Male,No,0,Graduate,No,2833,0,71,360,1,Urban,Approved
LP002101,Male,Yes,0,Graduate,No,63337,0,490,180,1,Urban,Approved
LP002103,Male,Yes,1,Graduate,Yes,9833,1833,182,180,1,Urban,Approved
LP002106,Male,Yes,1,Graduate,Yes,5503,4490,70,342,1,Semiurban,Approved
LP002110,Male,Yes,1,Graduate,Yes,5250,688,160,360,1,Rural,Approved
LP002112,Male,Yes,2,Graduate,Yes,2500,4600,176,360,1,Rural,Approved
LP002114,Female,No,0,Graduate,No,4160,0,71,360,1,Semiurban,Approved
LP002119,Male,Yes,1,Not Graduate,No,4554,1229,158,360,1,Urban,Approved
LP002126,Male,Yes,3+,Not Graduate,No,3173,0,74,360,1,Semiurban,Approved
LP002128,Male,Yes,2,Graduate,No,2583,2330,125,360,1,Rural,Approved
LP002129,Male,Yes,0,Graduate,No,2499,2458,160,360,1,Semiurban,Approved
LP002131,Male,Yes,2,Not Graduate,No,3083,2168,126,360,1,Urban,Approved
LP002137,Male,Yes,0,Graduate,No,6333,4583,259,360,1,Semiurban,Approved
LP002138,Male,Yes,0,Graduate,No,2625,6250,187,360,1,Rural,Approved
LP002139,Male,Yes,0,Graduate,No,9083,0,228,360,1,Semiurban,Approved
LP002141,Male,Yes,3+,Graduate,No,2666,2083,95,360,1,Rural,Approved
LP002143,Female,Yes,0,Graduate,No,2423,505,130,360,1,Semiurban,Approved
LP002144,Female,No,0,Graduate,No,3813,0,116,180,1,Urban,Approved
LP002149,Male,Yes,2,Graduate,No,8333,3167,165,360,1,Rural,Approved
LP002160,Male,Yes,3+,Graduate,No,5167,3167,200,360,1,Semiurban,Approved
LP002170,Male,Yes,2,Graduate,No,5000,3667,236,360,1,Semiurban,Approved
LP002175,Male,Yes,0,Graduate,No,4750,2333,130,360,1,Urban,Approved
LP002178,Male,Yes,0,Graduate,No,3013,3033,95,300,1,Urban,Approved
LP002180,Male,No,0,Graduate,Yes,6822,0,141,360,1,Rural,Approved
LP002190,Male,Yes,1,Graduate,No,6325,0,175,360,1,Semiurban,Approved
LP002194,Female,No,0,Graduate,Yes,15759,0,55,360,1,Semiurban,Approved
LP002197,Male,Yes,2,Graduate,No,5185,0,155,360,1,Semiurban,Approved
LP002201,Male,Yes,2,Graduate,Yes,9323,7873,380,300,1,Rural,Approved
LP002209,Female,No,0,Graduate,No,2764,1459,110,360,1,Urban,Approved
LP002211,Male,Yes,0,Graduate,No,4817,923,120,180,1,Urban,Approved
LP002219,Male,Yes,3+,Graduate,No,8750,4996,130,360,1,Rural,Approved
LP002223,Male,Yes,0,Graduate,No,4310,0,130,360,1,Semiurban,Approved
LP002225,Male,Yes,2,Graduate,No,5391,0,130,360,1,Urban,Approved
LP002226,Male,Yes,0,Graduate,No,3333,2500,128,360,1,Semiurban,Approved
LP002229,Male,No,0,Graduate,No,5941,4232,296,360,1,Semiurban,Approved
LP002231,Female,No,0,Graduate,No,6000,0,156,360,1,Urban,Approved
LP002234,Male,No,0,Graduate,Yes,7167,0,128,360,1,Urban,Approved
LP002237,Male,No,1,Graduate,No,3667,0,113,180,1,Urban,Approved
LP002239,Male,No,0,Not Graduate,No,2346,1600,132,360,1,Semiurban,Approved
LP002244,Male,Yes,0,Graduate,No,2333,2417,136,360,1,Urban,Approved
LP002250,Male,Yes,0,Graduate,No,5488,0,125,360,1,Rural,Approved
LP002255,Male,No,3+,Graduate,No,9167,0,185,360,1,Rural,Approved
LP002262,Male,Yes,3+,Graduate,No,9504,0,275,360,1,Rural,Approved
LP002263,Male,Yes,0,Graduate,No,2583,2115,120,360,1,Urban,Approved
LP002265,Male,Yes,2,Not Graduate,No,1993,1625,113,180,1,Semiurban,Approved
LP002266,Male,Yes,2,Graduate,No,3100,1400,113,360,1,Urban,Approved
LP002272,Male,Yes,2,Graduate,No,3276,484,135,360,1,Semiurban,Approved
LP002281,Male,Yes,0,Graduate,No,3033,1459,95,360,1,Urban,Approved
LP002284,Male,No,0,Not Graduate,No,3902,1666,109,360,1,Rural,Approved
LP002297,Male,No,0,Graduate,No,2500,20000,103,360,1,Semiurban,Approved
LP002300,Female,No,0,Not Graduate,No,1963,0,53,360,1,Semiurban,Approved
LP002305,Female,No,0,Graduate,No,4547,0,115,360,1,Semiurban,Approved
LP002308,Male,Yes,0,Not Graduate,No,2167,2400,115,360,1,Urban,Approved
LP002314,Female,No,0,Not Graduate,No,2213,0,66,360,1,Rural,Approved
LP002319,Male,Yes,0,Graduate,Yes,6256,0,160,360,1,Urban,Approved
LP002332,Male,Yes,0,Not Graduate,No,2253,2033,110,360,1,Rural,Approved
LP002337,Female,No,0,Graduate,No,2995,0,60,360,1,Urban,Approved
LP002345,Male,Yes,0,Graduate,No,1025,2773,112,360,1,Rural,Approved
LP002347,Male,Yes,0,Graduate,No,3246,1417,138,360,1,Semiurban,Approved
LP002348,Male,Yes,0,Graduate,No,5829,0,138,360,1,Rural,Approved
LP002361,Male,Yes,0,Graduate,No,1820,1719,100,360,1,Urban,Approved
LP002364,Male,Yes,0,Graduate,No,14880,0,96,360,1,Semiurban,Approved
LP002366,Male,Yes,0,Graduate,No,2666,4300,121,360,1,Rural,Approved
LP002368,Male,Yes,2,Graduate,No,5935,0,133,360,1,Semiurban,Approved
LP002369,Male,Yes,0,Graduate,No,2920,16.12000084,87,360,1,Rural,Approved
LP002370,Male,No,0,Not Graduate,No,2717,0,60,180,1,Urban,Approved
LP002377,Female,No,1,Graduate,Yes,8624,0,150,360,1,Semiurban,Approved
LP002386,Male,No,0,Graduate,No,12876,0,405,360,1,Semiurban,Approved
LP002387,Male,Yes,0,Graduate,No,2425,2340,143,360,1,Semiurban,Approved
LP002390,Male,No,0,Graduate,No,3750,0,100,360,1,Urban,Approved
LP002393,Female,No,0,Graduate,No,10047,0,146,240,1,Semiurban,Approved
LP002398,Male,No,0,Graduate,No,1926,1851,50,360,1,Semiurban,Approved
LP002401,Male,Yes,0,Graduate,No,2213,1125,146,360,1,Urban,Approved
LP002407,Female,Yes,0,Not Graduate,Yes,7142,0,138,360,1,Rural,Approved
LP002408,Male,No,0,Graduate,No,3660,5064,187,360,1,Semiurban,Approved
LP002409,Male,Yes,0,Graduate,No,7901,1833,180,360,1,Rural,Approved
LP002418,Male,No,3+,Not Graduate,No,4707,1993,148,360,1,Semiurban,Approved
LP002422,Male,No,1,Graduate,No,37719,0,152,360,1,Semiurban,Approved
LP002424,Male,Yes,0,Graduate,No,7333,8333,175,300,1,Rural,Approved
LP002429,Male,Yes,1,Graduate,Yes,3466,1210,130,360,1,Rural,Approved
LP002434,Male,Yes,2,Not Graduate,No,4652,0,110,360,1,Rural,Approved
LP002447,Male,Yes,2,Not Graduate,No,1958,1456,60,300,0,Urban,Approved
LP002449,Male,Yes,0,Graduate,No,2483,2466,90,180,0,Rural,Approved
LP002453,Male,No,0,Graduate,Yes,7085,0,84,360,1,Semiurban,Approved
LP002455,Male,Yes,2,Graduate,No,3859,0,96,360,1,Semiurban,Approved
LP002459,Male,Yes,0,Graduate,No,4301,0,118,360,1,Urban,Approved
LP002472,Male,No,2,Graduate,No,4354,0,136,360,1,Rural,Approved
LP002478,Male,Yes,0,Graduate,Yes,2083,4083,160,360,1,Semiurban,Approved
LP002484,Male,Yes,3+,Graduate,No,7740,0,128,180,1,Urban,Approved
LP002487,Male,Yes,0,Graduate,No,3015,2188,153,360,1,Rural,Approved
LP002489,Female,No,1,Not Graduate,No,5191,0,132,360,1,Semiurban,Approved
LP002494,Male,No,0,Graduate,No,6000,0,140,360,1,Rural,Approved
LP002501,Male,Yes,0,Graduate,No,16692,0,110,360,1,Semiurban,Approved
LP002502,Female,Yes,2,Not Graduate,No,210,2917,98,360,1,Semiurban,Approved
LP002515,Male,Yes,1,Graduate,Yes,3450,2079,162,360,1,Semiurban,Approved
LP002519,Male,Yes,3+,Graduate,No,4691,0,100,360,1,Semiurban,Approved
LP002522,Female,No,0,Graduate,Yes,2500,0,93,360,1,Urban,Approved
LP002524,Male,No,2,Graduate,No,5532,4648,162,360,1,Rural,Approved
LP002527,Male,Yes,2,Graduate,Yes,16525,1014,150,360,1,Rural,Approved
LP002529,Male,Yes,2,Graduate,No,6700,1750,230,300,1,Semiurban,Approved
LP002531,Male,Yes,1,Graduate,Yes,16667,2250,86,360,1,Semiurban,Approved
LP002534,Female,No,0,Not Graduate,No,4350,0,154,360,1,Rural,Approved
LP002536,Male,Yes,3+,Not Graduate,No,3095,0,113,360,1,Rural,Approved
LP002537,Male,Yes,0,Graduate,No,2083,3150,128,360,1,Semiurban,Approved
